City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
279,Svetlyy,RU,2022-04-13 02:08:31,54.675,20.1347,28.45,78,29,4.63
280,Elizabeth City,US,2022-04-13 02:08:31,36.2946,-76.2511,70.02,71,0,6.91
281,Petropavlovsk-Kamchatskiy,RU,2022-04-13 02:08:32,53.0452,158.6483,37.99,48,0,6.71
282,Minsk,BY,2022-04-13 02:07:40,53.9,27.5667,37.15,75,11,9.93
283,Paamiut,GL,2022-04-13 02:05:29,61.994,-49.6678,26.33,80,91,9.78
284,Sinazongwe,ZM,2022-04-13 02:08:32,-17.2614,27.4618,72.77,74,75,2.19
285,Alugan,PH,2022-04-13 02:08:33,12.2188,125.4808,79.2,88,100,10.98
286,Chernogorsk,RU,2022-04-13 02:08:33,53.8236,91.2842,31.57,74,0,11.18
287,Komsomolskiy,UZ,2022-04-13 02:08:34,40.4272,71.7189,59.72,67,36,6.91
288,Pervomayskoye,RU,2022-04-13 02:08:34,43.919,46.7102,44.49,71,6,11.7
289,Progreso,MX,2022-04-13 02:08:35,21.2833,-89.6667,87.91,60,1,17.31
290,Akropong,GH,2022-04-13 02:08:35,5.9746,-0.0854,71.91,85,100,4.34
291,Lom,BG,2022-04-13 02:08:35,43.8139,23.2361,39.42,68,10,5.46
