City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
192,Saint-Francois,FR,46.4154,3.9054,50.68,93,0,3.44,clear sky
193,Airai,TL,-8.9266,125.4092,72.09,50,95,3.65,overcast clouds
194,Gasa,PS,31.5,34.4667,63.88,88,24,6.04,few clouds
195,San Jose,US,37.3394,-121.895,64.49,54,75,18.41,broken clouds
196,Hervey Bay,AU,-25.2986,152.8535,76.01,62,91,11.01,overcast clouds
197,Pevek,RU,69.7008,170.3133,14.63,91,92,5.57,overcast clouds
198,Katsuura,JP,35.1333,140.3,69.87,69,98,18.61,overcast clouds
199,Batagay-Alyta,RU,67.8006,130.4114,15.62,86,100,4.07,overcast clouds
200,Deputatskiy,RU,69.3,139.9,10.89,88,92,1.66,overcast clouds
201,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,70.63,86,80,11.32,broken clouds
202,Boden,SE,65.8252,21.6886,37.4,96,90,3.83,overcast clouds
203,Wukari,NG,7.85,9.7833,82.78,64,100,7.83,overcast clouds
204,Tessalit,ML,20.1986,1.0114,77.79,8,85,7.43,overcast clouds
205,Oshikango,NA,-17.4,15.8833,61.27,50,6,6.06,clear sky
206,Tashtyp,RU,52.7939,89.8983,31.23,70,92,14.0,overcast clouds
207,Boa Vista,BR,2.8197,-60.6733,80.58,74,40,2.3,scattered clouds
208,Namibe,AO,-15.1961,12.1522,71.65,82,66,6.58,broken clouds
209,Xining,CN,36.6167,101.7667,52.36,51,100,2.01,overcast clouds
210,Westport,US,41.1415,-73.3579,59.86,41,0,9.22,clear sky
211,Avarua,CK,-21.2078,-159.775,80.65,69,40,18.41,scattered clouds
212,La Cruz,MX,23.9167,-106.9,74.97,69,10,4.14,clear sky
213,Wete,TZ,-5.0559,39.7294,77.07,86,44,0.67,light rain
214,Kurilsk,RU,45.2333,147.8833,43.77,89,83,9.04,broken clouds
215,Doka,SD,13.5167,35.7667,78.71,61,19,7.16,light rain
216,Zyryanka,RU,65.75,150.85,22.77,81,100,3.33,overcast clouds
217,Andros Town,BS,24.7,-77.7667,71.56,76,66,24.99,broken clouds
218,Oregon City,US,45.3573,-122.6068,60.66,65,71,1.99,broken clouds
219,Torbay,CA,47.6666,-52.7314,39.38,64,100,6.91,overcast clouds
220,Vila Franca Do Campo,PT,37.7167,-25.4333,57.61,69,100,5.68,overcast clouds
221,Hilo,US,19.7297,-155.09,81.28,75,40,6.91,scattered clouds
222,Nishihara,JP,26.1842,127.7558,76.68,91,100,14.97,overcast clouds
223,Takoradi,GH,4.8845,-1.7554,80.17,86,68,7.14,broken clouds
224,Pitea,SE,65.3172,21.4794,37.49,95,99,4.85,overcast clouds
225,Saint-Pierre,RE,-21.3393,55.4781,74.88,75,0,26.46,clear sky
226,Bahraich,IN,27.5833,81.6,80.49,23,0,4.65,clear sky
227,Shakawe,BW,-18.3667,21.85,66.63,55,100,3.38,overcast clouds
228,Manavgat,TR,36.7867,31.4431,62.89,56,1,5.06,clear sky
229,Alekseyevka,RU,50.6309,38.6903,45.57,85,100,2.17,overcast clouds
230,Marzuq,YE,14.4,46.4667,68.76,44,27,5.44,scattered clouds
231,Buchanan,LR,5.8808,-10.0467,78.42,83,86,1.66,overcast clouds
232,Shwebo,MM,22.5667,95.7,89.06,41,1,10.07,clear sky
233,Plettenberg Bay,ZA,-34.0527,23.3716,59.67,80,100,3.42,overcast clouds
234,Kaili,ID,-3.4626,120.2147,75.0,78,92,2.13,overcast clouds
235,Redlands,US,34.0556,-117.1825,62.26,62,96,1.99,overcast clouds
236,Alice Springs,AU,-23.7,133.8833,69.35,32,100,12.66,overcast clouds
237,Saint George,US,37.1041,-113.5841,56.43,58,0,9.22,clear sky
238,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,73.47,98,96,1.54,overcast clouds
239,Andenes,NO,69.3143,16.1194,33.78,86,40,2.3,scattered clouds
240,Kerouane,GN,9.2667,-9.0167,80.65,52,100,4.0,overcast clouds
241,Marsa Matruh,EG,31.3525,27.2453,59.43,79,0,9.44,clear sky
242,Thayetmyo,MM,19.3167,95.1833,85.26,60,1,2.84,clear sky
243,Coquimbo,CL,-29.9533,-71.3436,56.93,100,100,4.61,overcast clouds
244,Aldan,RU,58.6031,125.3894,27.1,75,90,4.05,overcast clouds
245,Kloulklubed,PW,7.0419,134.2556,82.9,77,46,9.42,scattered clouds
246,Nanortalik,GL,60.1432,-45.2371,34.75,99,100,6.13,light snow
247,Qaqortoq,GL,60.7167,-46.0333,33.8,97,100,3.27,light snow
248,Fountain,US,38.6822,-104.7008,75.42,19,100,39.12,dust
249,Shenjiamen,CN,29.9576,122.298,61.7,100,100,4.97,moderate rain
250,Labrea,BR,-7.2586,-64.7981,76.86,81,77,2.75,heavy intensity rain
251,Canalete,CO,8.6761,-76.2042,77.86,86,99,1.45,overcast clouds
252,Port Elizabeth,ZA,-33.918,25.5701,60.1,99,100,5.01,light rain
253,Bay Roberts,CA,47.5999,-53.2648,40.14,66,100,1.01,overcast clouds
254,Kpandu,GH,6.9954,0.2931,77.18,86,27,8.5,scattered clouds
255,Dossor,KZ,47.5272,52.9811,55.8,58,100,6.11,overcast clouds
256,Hobyo,SO,5.3505,48.5268,82.74,74,79,10.07,broken clouds
257,Kotaparh,IN,19.15,82.35,79.97,40,6,4.56,clear sky
258,Adeje,ES,28.1227,-16.726,62.02,68,40,4.61,scattered clouds
259,Devaprayag,IN,30.15,78.6167,68.54,46,0,5.5,clear sky
260,Camabatela,AO,-8.1881,15.375,61.95,95,14,1.74,few clouds
261,Lindi,TZ,-10.0,39.7167,72.9,97,93,3.6,overcast clouds
262,Trapani,IT,37.8333,12.6667,55.27,82,0,4.61,clear sky
263,Saint-Augustin,CA,51.226,-58.6502,32.95,99,100,3.83,light snow
264,Sri Aman,MY,1.2376,111.4621,80.65,89,20,4.61,few clouds
265,Bonanza,NI,14.0289,-84.591,71.53,94,80,2.35,broken clouds
266,Kolyubakino,RU,55.668,36.5323,42.98,97,100,1.88,overcast clouds
267,Dalianwan,CN,39.0286,121.695,60.84,39,0,11.18,clear sky
268,Egvekinot,RU,66.3167,-179.1667,22.84,89,100,3.04,overcast clouds
269,Itaituba,BR,-4.2761,-55.9836,73.09,99,100,0.63,overcast clouds
270,Naze,JP,28.3667,129.4833,74.32,85,100,13.04,overcast clouds
271,Coroico,BO,-16.1889,-67.7271,63.0,89,83,1.97,broken clouds
272,Piracuruca,BR,-3.9281,-41.7092,74.19,94,96,2.51,overcast clouds
273,Bakonyszentlaszlo,HU,47.389,17.8032,45.41,98,100,4.92,light rain
274,El Alto,PE,-4.2714,-81.2147,67.17,85,43,14.0,scattered clouds
275,Marquette,US,46.5333,-87.6335,45.84,69,100,9.75,overcast clouds
276,San Patricio,US,28.017,-97.5169,77.18,81,33,18.25,scattered clouds
277,Syracuse,IT,37.0881,15.2792,53.31,80,4,4.83,clear sky
278,Narsaq,GL,60.9167,-46.05,41.22,96,99,4.34,overcast clouds
279,Abalak,RU,58.1286,68.5944,18.0,76,16,7.63,few clouds
280,Bako,ET,5.7833,36.5667,62.53,87,100,3.65,overcast clouds
281,Abha,SA,18.2164,42.5053,62.42,41,20,0.0,few clouds
282,Parsabad,IR,39.6482,47.9174,50.83,75,20,3.42,few clouds
283,Carnarvon,AU,-24.8667,113.6333,78.87,36,0,11.5,clear sky
284,Koksovyy,RU,48.1967,40.5989,43.05,88,98,6.8,overcast clouds
285,Goksun,TR,38.021,36.4973,51.12,45,0,4.43,clear sky
286,Nurota,UZ,40.5614,65.6886,64.4,50,4,5.99,clear sky
287,Mareeba,AU,-17.0,145.4333,73.44,92,100,5.53,light rain
288,Lagoa,PT,39.05,-27.9833,56.77,67,100,14.72,overcast clouds
289,Pilar,BR,-9.5972,-35.9567,75.13,90,27,2.35,scattered clouds
290,Iralaya,HN,15.0,-83.2333,77.94,83,14,8.1,few clouds
291,Manuk Mangkaw,PH,4.8,119.85,83.25,73,100,4.68,overcast clouds
292,Kamyshevatskaya,RU,46.4132,37.9563,47.25,72,7,2.21,clear sky
